ID,Age,Age_Category,Education,Marital_Status,Income,Income_Category,Kids,Kidhome,Teenhome,Registered_Year,Registered_Month,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,Total_Purchase,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Total_Acc_Cmp,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,MntWinesCat,MntFruitsCat,MntMeatProductsCat,MntFishProductsCat,MntSweetProductsCat,MntGoldProdsCat,TotalPurchaseCat,NumDealsCat,NumWebCat,NumCatalogCat,NumStoreCat,NumWebVisitsCat
387,48,2. Elderly,Under Graduate,Relationship,7500.0,1. Lower,0,0,0,2012,November,6,16,11,11,1,16,61,1,2,0,3,8,0,0,0,0,0,0,0,0,Low Amount Purchases,Medium to High Amount Purchases,Low Amount Purchases,Medium to Low Amount Purchases,Low Amount Purchases,Medium to Low Amount Purchases,Low Number of Total Purchase,Low Number Purchases,Low Number Purchases,Low Number Purchases,Low Number Purchases,High Number Visit
2125,65,2. Elderly,Graduate,Single,63033.0,3. Upper-Middle,0,0,0,2013,November,194,61,480,225,112,30,1102,1,3,4,8,2,0,0,0,0,0,0,0,0,Medium to High Amount Purchases,High Amount Purchases,High Amount Purchases,High Amount Purchases,High Amount Purchases,Medium to High Amount Purchases,High Number of Total Purchase,Low Number Purchases,Medium to Low Number Purchases,Medium to High Number Purchases,Medium to High Number Purchases,Low Number Visit
8180,72,3. Old,Post Graduate,Single,59354.0,3. Upper-Middle,2,1,1,2013,November,233,2,53,3,5,14,310,3,6,1,5,6,0,0,0,0,0,0,0,0,Medium to High Amount Purchases,Low Amount Purchases,Medium to Low Amount Purchases,Low Amount Purchases,Medium to Low Amount Purchases,Medium to Low Amount Purchases,Medium to Low Number of Total Purchase,Medium to High Number Purchases,Medium to High Number Purchases,Medium to Low Number Purchases,Medium to Low Number Purchases,Medium to Low Number Visit
2569,37,1. Adult,Graduate,Relationship,17323.0,1. Lower,0,0,0,2012,October,3,14,17,6,1,5,46,1,1,0,3,8,0,0,0,0,0,0,0,0,Low Amount Purchases,Medium to High Amount Purchases,Medium to Low Amount Purchases,Medium to Low Amount Purchases,Low Amount Purchases,Low Amount Purchases,Low Number of Total Purchase,Low Number Purchases,Low Number Purchases,Low Number Purchases,Low Number Purchases,High Number Visit
2114,78,3. Old,Post Graduate,Single,82800.0,4. Upper,0,0,0,2012,November,1006,22,115,59,68,45,1315,1,7,6,12,3,2,0,0,1,1,0,0,1,High Amount Purchases,Medium to High Amount Purchases,Medium to High Amount Purchases,High Amount Purchases,High Amount Purchases,Medium to High Amount Purchases,High Number of Total Purchase,Low Number Purchases,High Number Purchases,High Number Purchases,High Number Purchases,Low Number Visit
9736,44,1. Adult,Graduate,Relationship,41850.0,2. Lower-Middle,2,1,1,2012,December,53,5,19,2,13,4,96,3,3,0,3,8,0,0,0,0,0,0,0,0,Medium to Low Amount Purchases,Medium to Low Amount Purchases,Medium to Low Amount Purchases,Low Amount Purchases,Medium to High Amount Purchases,Low Amount Purchases,Medium to Low Number of Total Purchase,Medium to High Number Purchases,Medium to Low Number Purchases,Low Number Purchases,Low Number Purchases,High Number Visit
4939,78,3. Old,Graduate,Relationship,37760.0,2. Lower-Middle,0,0,0,2012,August,84,5,38,150,12,28,317,2,4,1,6,7,0,0,0,0,0,0,0,0,Medium to Low Amount Purchases,Medium to Low Amount Purchases,Medium to Low Amount Purchases,High Amount Purchases,Medium to High Amount Purchases,Medium to High Amount Purchases,Medium to Low Number of Total Purchase,Medium to Low Number Purchases,Medium to Low Number Purchases,Medium to Low Number Purchases,Medium to High Number Purchases,Medium to High Number Visit
6565,75,3. Old,Post Graduate,Relationship,76995.0,4. Upper,1,0,1,2013,March,1012,80,498,0,16,176,1782,2,11,4,9,5,1,0,0,0,1,0,0,0,High Amount Purchases,High Amount Purchases,High Amount Purchases,Low Amount Purchases,Medium to High Amount Purchases,High Amount Purchases,High Number of Total Purchase,Medium to Low Number Purchases,High Number Purchases,Medium to High Number Purchases,High Number Purchases,Medium to Low Number Visit
2278,39,1. Adult,Post Graduate,Single,33812.0,1. Lower,1,1,0,2012,November,4,17,19,30,24,39,133,2,2,1,3,6,0,0,0,0,0,0,0,0,Low Amount Purchases,Medium to High Amount Purchases,Medium to Low Amount Purchases,Medium to High Amount Purchases,Medium to High Amount Purchases,Medium to High Amount Purchases,Medium to Low Number of Total Purchase,Medium to Low Number Purchases,Low Number Purchases,Medium to Low Number Purchases,Low Number Purchases,Medium to Low Number Visit
9360,42,1. Adult,Graduate,Relationship,37040.0,2. Lower-Middle,0,0,0,2012,August,86,2,73,69,38,48,316,1,4,2,5,8,0,0,0,0,0,0,0,0,Medium to Low Amount Purchases,Low Amount Purchases,Medium to High Amount Purchases,High Amount Purchases,High Amount Purchases,Medium to High Amount Purchases,Medium to Low Number of Total Purchase,Low Number Purchases,Medium to Low Number Purchases,Medium to Low Number Purchases,Medium to Low Number Purchases,High Number Visit
5376,45,1. Adult,Graduate,Relationship,2447.0,1. Lower,1,1,0,2013,January,1,1,1725,1,1,1,1730,15,0,28,0,1,0,0,0,0,0,0,0,0,Low Amount Purchases,Low Amount Purchases,High Amount Purchases,Low Amount Purchases,Low Amount Purchases,Low Amount Purchases,High Number of Total Purchase,High Number Purchases,Low Number Purchases,High Number Purchases,Low Number Purchases,Low Number Visit
1993,75,3. Old,Post Graduate,Relationship,58607.0,3. Upper-Middle,1,0,1,2012,December,867,0,86,0,0,19,972,3,2,3,9,8,1,0,1,0,0,0,0,0,High Amount Purchases,Low Amount Purchases,Medium to High Amount Purchases,Low Amount Purchases,Low Amount Purchases,Medium to Low Amount Purchases,Medium to High Number of Total Purchase,Medium to High Number Purchases,Low Number Purchases,Medium to High Number Purchases,High Number Purchases,High Number Visit
4047,70,3. Old,Post Graduate,Relationship,65324.0,3. Upper-Middle,1,0,1,2014,January,384,0,102,21,32,5,544,3,6,2,9,4,0,0,0,0,0,0,0,0,Medium to High Amount Purchases,Low Amount Purchases,Medium to High Amount Purchases,Medium to High Amount Purchases,Medium to High Amount Purchases,Low Amount Purchases,Medium to High Number of Total Purchase,Medium to High Number Purchases,Medium to High Number Purchases,Medium to Low Number Purchases,High Number Purchases,Medium to Low Number Visit
1409,73,3. Old,Graduate,Relationship,40689.0,2. Lower-Middle,1,0,1,2013,March,270,3,27,39,6,99,444,7,7,1,5,8,0,0,0,0,0,0,0,0,Medium to High Amount Purchases,Medium to Low Amount Purchases,Medium to Low Amount Purchases,Medium to High Amount Purchases,Medium to Low Amount Purchases,High Amount Purchases,Medium to High Number of Total Purchase,High Number Purchases,High Number Purchases,Medium to Low Number Purchases,Medium to Low Number Purchases,High Number Visit
7892,55,2. Elderly,Graduate,Single,18589.0,1. Lower,0,0,0,2013,January,6,4,25,15,12,13,75,2,2,1,3,7,0,0,0,0,0,0,0,0,Low Amount Purchases,Medium to Low Amount Purchases,Medium to Low Amount Purchases,Medium to High Amount Purchases,Medium to High Amount Purchases,Medium to Low Amount Purchases,Medium to Low Number of Total Purchase,Medium to Low Number Purchases,Low Number Purchases,Medium to Low Number Purchases,Low Number Purchases,Medium to High Number Visit
2404,48,2. Elderly,Graduate,Relationship,53359.0,3. Upper-Middle,2,1,1,2013,May,173,4,30,3,6,41,257,4,5,1,4,7,0,0,0,0,0,0,0,0,Medium to Low Amount Purchases,Medium to Low Amount Purchases,Medium to Low Amount Purchases,Low Amount Purchases,Medium to Low Amount Purchases,Medium to High Amount Purchases,Medium to Low Number of Total Purchase,High Number Purchases,Medium to High Number Purchases,Medium to Low Number Purchases,Medium to Low Number Purchases,Medium to High Number Visit
9422,35,1. Adult,Graduate,Relationship,38360.0,2. Lower-Middle,1,1,0,2013,May,36,2,42,20,21,10,131,2,2,1,4,3,0,0,0,0,0,0,0,0,Medium to Low Amount Purchases,Low Amount Purchases,Medium to Low Amount Purchases,Medium to High Amount Purchases,Medium to High Amount Purchases,Medium to Low Amount Purchases,Medium to Low Number of Total Purchase,Medium to Low Number Purchases,Low Number Purchases,Medium to Low Number Purchases,Medium to Low Number Purchases,Low Number Visit
1966,59,2. Elderly,Post Graduate,Relationship,84618.0,4. Upper,0,0,0,2013,November,684,100,801,21,66,0,1672,1,6,9,10,2,1,0,0,1,0,0,0,0,High Amount Purchases,High Amount Purchases,High Amount Purchases,Medium to High Amount Purchases,High Amount Purchases,Low Amount Purchases,High Number of Total Purchase,Low Number Purchases,Medium to High Number Purchases,High Number Purchases,High Number Purchases,Low Number Visit
6864,35,1. Adult,Post Graduate,Single,10979.0,1. Lower,0,0,0,2014,May,8,4,10,2,2,4,30,2,3,0,3,5,0,0,0,0,0,0,0,0,Low Amount Purchases,Medium to Low Amount Purchases,Low Amount Purchases,Low Amount Purchases,Medium to Low Amount Purchases,Low Amount Purchases,Low Number of Total Purchase,Medium to Low Number Purchases,Medium to Low Number Purchases,Low Number Purchases,Low Number Purchases,Medium to Low Number Visit
3033,61,2. Elderly,Post Graduate,Relationship,38620.0,2. Lower-Middle,0,0,0,2013,May,112,17,44,34,22,89,318,1,2,5,3,3,0,0,0,0,0,0,0,0,Medium to Low Amount Purchases,Medium to High Amount Purchases,Medium to Low Amount Purchases,Medium to High Amount Purchases,Medium to High Amount Purchases,High Amount Purchases,Medium to Low Number of Total Purchase,Low Number Purchases,Low Number Purchases,High Number Purchases,Low Number Purchases,Low Number Visit
5710,54,2. Elderly,Graduate,Relationship,40548.0,2. Lower-Middle,1,0,1,2012,October,110,0,5,2,0,3,120,2,2,1,4,5,1,0,1,0,0,0,0,0,Medium to Low Amount Purchases,Low Amount Purchases,Low Amount Purchases,Low Amount Purchases,Low Amount Purchases,Low Amount Purchases,Medium to Low Number of Total Purchase,Medium to Low Number Purchases,Low Number Purchases,Medium to Low Number Purchases,Medium to Low Number Purchases,Medium to Low Number Visit
7373,72,3. Old,Post Graduate,Single,46610.0,2. Lower-Middle,2,0,2,2012,October,96,12,96,33,22,43,302,6,4,1,6,6,0,0,0,0,0,0,0,1,Medium to Low Amount Purchases,Medium to High Amount Purchases,Medium to High Amount Purchases,Medium to High Amount Purchases,Medium to High Amount Purchases,Medium to High Amount Purchases,Medium to Low Number of Total Purchase,High Number Purchases,Medium to Low Number Purchases,Medium to Low Number Purchases,Medium to High Number Purchases,Medium to Low Number Visit
8755,78,3. Old,Post Graduate,Relationship,68657.0,4. Upper,0,0,0,2013,February,482,34,471,119,68,22,1196,1,3,5,9,7,0,0,0,0,0,0,0,0,Medium to High Amount Purchases,High Amount Purchases,High Amount Purchases,High Amount Purchases,High Amount Purchases,Medium to Low Amount Purchases,High Number of Total Purchase,Low Number Purchases,Medium to Low Number Purchases,High Number Purchases,High Number Purchases,Medium to High Number Visit
10738,73,3. Old,Post Graduate,Single,49389.0,2. Lower-Middle,2,1,1,2013,August,40,0,19,2,1,3,65,1,2,0,3,7,0,0,0,0,0,0,0,0,Medium to Low Amount Purchases,Low Amount Purchases,Medium to Low Amount Purchases,Low Amount Purchases,Low Amount Purchases,Low Amount Purchases,Low Number of Total Purchase,Low Number Purchases,Low Number Purchases,Low Number Purchases,Low Number Purchases,Medium to High Number Visit
4339,54,2. Elderly,Post Graduate,Relationship,67353.0,3. Upper-Middle,1,0,1,2013,December,702,17,151,0,8,35,913,5,5,6,12,2,0,0,0,0,0,0,0,0,High Amount Purchases,Medium to High Amount Purchases,Medium to High Amount Purchases,Low Amount Purchases,Medium to Low Amount Purchases,Medium to High Amount Purchases,Medium to High Number of Total Purchase,High Number Purchases,Medium to High Number Purchases,High Number Purchases,High Number Purchases,Low Number Visit
10755,48,2. Elderly,Post Graduate,Relationship,23718.0,1. Lower,1,1,0,2013,September,6,3,14,15,7,36,81,3,3,1,2,7,0,0,0,0,0,0,0,0,Low Amount Purchases,Medium to Low Amount Purchases,Low Amount Purchases,Medium to High Amount Purchases,Medium to Low Amount Purchases,Medium to High Amount Purchases,Medium to Low Number of Total Purchase,Medium to High Number Purchases,Medium to Low Number Purchases,Medium to Low Number Purchases,Low Number Purchases,Medium to High Number Visit
8595,51,2. Elderly,Graduate,Single,42429.0,2. Lower-Middle,1,0,1,2014,February,55,0,6,2,0,4,67,2,1,1,3,5,0,0,0,0,0,0,0,0,Medium to Low Amount Purchases,Low Amount Purchases,Low Amount Purchases,Low Amount Purchases,Low Amount Purchases,Low Amount Purchases,Low Number of Total Purchase,Medium to Low Number Purchases,Low Number Purchases,Medium to Low Number Purchases,Low Number Purchases,Medium to Low Number Visit
2968,81,3. Old,Post Graduate,Single,48948.0,2. Lower-Middle,0,0,0,2013,February,437,8,206,160,49,42,902,2,7,10,5,6,1,1,0,0,0,0,0,1,Medium to High Amount Purchases,Medium to Low Amount Purchases,Medium to High Amount Purchases,High Amount Purchases,High Amount Purchases,Medium to High Amount Purchases,Medium to High Number of Total Purchase,Medium to Low Number Purchases,High Number Purchases,High Number Purchases,Medium to Low Number Purchases,Medium to Low Number Visit
8601,44,1. Adult,Graduate,Relationship,80011.0,4. Upper,1,0,1,2013,April,421,76,536,82,178,102,1395,2,8,6,5,4,0,0,0,0,0,0,0,0,Medium to High Amount Purchases,High Amount Purchases,High Amount Purchases,High Amount Purchases,High Amount Purchases,High Amount Purchases,High Number of Total Purchase,Medium to Low Number Purchases,High Number Purchases,High Number Purchases,Medium to Low Number Purchases,Medium to Low Number Visit
503,39,1. Adult,Post Graduate,Relationship,20559.0,1. Lower,1,1,0,2013,March,13,1,29,3,0,7,53,2,2,0,3,8,0,0,0,0,0,0,0,0,Low Amount Purchases,Low Amount Purchases,Medium to Low Amount Purchases,Low Amount Purchases,Low Amount Purchases,Low Amount Purchases,Low Number of Total Purchase,Medium to Low Number Purchases,Low Number Purchases,Low Number Purchases,Low Number Purchases,High Number Visit
8430,67,3. Old,Graduate,Relationship,21994.0,1. Lower,1,0,1,2012,December,9,0,6,3,1,3,22,1,0,0,3,5,0,0,0,0,0,0,0,0,Low Amount Purchases,Low Amount Purchases,Low Amount Purchases,Low Amount Purchases,Low Amount Purchases,Low Amount Purchases,Low Number of Total Purchase,Low Number Purchases,Low Number Purchases,Low Number Purchases,Low Number Purchases,Medium to Low Number Visit
2139,49,2. Elderly,Post Graduate,Relationship,7500.0,1. Lower,1,1,0,2013,October,3,1,10,3,2,12,31,3,2,0,3,5,0,0,0,0,0,0,0,0,Low Amount Purchases,Low Amount Purchases,Low Amount Purchases,Low Amount Purchases,Medium to Low Amount Purchases,Medium to Low Amount Purchases,Low Number of Total Purchase,Medium to High Number Purchases,Low Number Purchases,Low Number Purchases,Low Number Purchases,Medium to Low Number Visit
1371,48,2. Elderly,Graduate,Single,79941.0,4. Upper,0,0,0,2014,June,123,164,266,227,30,174,984,1,2,4,9,1,0,0,0,0,0,0,0,0,Medium to Low Amount Purchases,High Amount Purchases,High Amount Purchases,High Amount Purchases,Medium to High Amount Purchases,High Amount Purchases,Medium to High Number of Total Purchase,Low Number Purchases,Low Number Purchases,Medium to High Number Purchases,High Number Purchases,Low Number Visit
9909,28,1. Adult,Post Graduate,Relationship,7500.0,1. Lower,0,0,0,2012,November,3,18,14,15,22,50,122,3,3,1,3,9,0,0,0,0,0,0,0,1,Low Amount Purchases,Medium to High Amount Purchases,Low Amount Purchases,Medium to High Amount Purchases,Medium to High Amount Purchases,Medium to High Amount Purchases,Medium to Low Number of Total Purchase,Medium to High Number Purchases,Medium to Low Number Purchases,Medium to Low Number Purchases,Low Number Purchases,High Number Visit
7286,56,2. Elderly,Graduate,Relationship,41728.0,2. Lower-Middle,1,1,0,2013,May,13,6,15,3,5,13,55,1,2,0,2,10,0,0,0,0,0,0,0,0,Low Amount Purchases,Medium to Low Amount Purchases,Low Amount Purchases,Low Amount Purchases,Medium to Low Amount Purchases,Medium to Low Amount Purchases,Low Number of Total Purchase,Low Number Purchases,Low Number Purchases,Low Number Purchases,Low Number Purchases,High Number Visit
6566,70,3. Old,Post Graduate,Relationship,72550.0,4. Upper,2,1,1,2012,November,826,50,317,50,38,38,1319,9,5,2,12,8,0,0,0,0,0,0,0,0,High Amount Purchases,High Amount Purchases,High Amount Purchases,Medium to High Amount Purchases,High Amount Purchases,Medium to High Amount Purchases,High Number of Total Purchase,High Number Purchases,Medium to High Number Purchases,Medium to Low Number Purchases,High Number Purchases,High Number Visit
8614,67,3. Old,Graduate,Single,65486.0,3. Upper-Middle,1,0,1,2014,May,245,19,125,37,67,14,507,1,4,2,10,2,0,0,0,0,0,0,0,0,Medium to High Amount Purchases,Medium to High Amount Purchases,Medium to High Amount Purchases,Medium to High Amount Purchases,High Amount Purchases,Medium to Low Amount Purchases,Medium to High Number of Total Purchase,Low Number Purchases,Medium to Low Number Purchases,Medium to Low Number Purchases,High Number Purchases,Low Number Visit
4114,60,2. Elderly,Post Graduate,Relationship,79143.0,4. Upper,0,0,0,2012,August,650,37,780,27,167,32,1693,1,6,9,13,3,0,0,0,0,0,0,0,0,High Amount Purchases,High Amount Purchases,High Amount Purchases,Medium to High Amount Purchases,High Amount Purchases,Medium to High Amount Purchases,High Number of Total Purchase,Low Number Purchases,Medium to High Number Purchases,High Number Purchases,High Number Purchases,Low Number Visit
1331,47,2. Elderly,Graduate,Single,35790.0,2. Lower-Middle,1,1,0,2013,January,12,6,20,30,1,3,72,2,2,0,3,7,0,0,0,0,0,0,0,0,Low Amount Purchases,Medium to Low Amount Purchases,Medium to Low Amount Purchases,Medium to High Amount Purchases,Low Amount Purchases,Low Amount Purchases,Medium to Low Number of Total Purchase,Medium to Low Number Purchases,Low Number Purchases,Low Number Purchases,Low Number Purchases,Medium to High Number Visit
2225,47,2. Elderly,Graduate,Single,82582.0,4. Upper,0,0,0,2014,June,510,120,550,156,40,241,1617,1,4,9,7,1,2,1,0,0,1,0,0,1,High Amount Purchases,High Amount Purchases,High Amount Purchases,High Amount Purchases,High Amount Purchases,High Amount Purchases,High Number of Total Purchase,Low Number Purchases,Medium to Low Number Purchases,High Number Purchases,Medium to High Number Purchases,Low Number Visit
9381,46,2. Elderly,Graduate,Relationship,66373.0,3. Upper-Middle,2,1,1,2013,June,328,9,124,12,24,109,606,7,4,2,10,3,0,0,0,0,0,0,0,0,Medium to High Amount Purchases,Medium to High Amount Purchases,Medium to High Amount Purchases,Medium to Low Amount Purchases,Medium to High Amount Purchases,High Amount Purchases,Medium to High Number of Total Purchase,High Number Purchases,Medium to Low Number Purchases,Medium to Low Number Purchases,High Number Purchases,Low Number Visit
6260,69,3. Old,Post Graduate,Relationship,82384.0,4. Upper,0,0,0,2012,November,984,51,432,180,120,190,1957,1,3,10,13,1,1,0,0,1,0,0,0,1,High Amount Purchases,High Amount Purchases,High Amount Purchases,High Amount Purchases,High Amount Purchases,High Amount Purchases,High Number of Total Purchase,Low Number Purchases,Medium to Low Number Purchases,High Number Purchases,High Number Purchases,Low Number Visit
10383,58,2. Elderly,Graduate,Single,70287.0,4. Upper,0,0,0,2013,April,295,35,482,121,120,40,1093,1,5,5,10,3,0,0,0,0,0,0,0,1,Medium to High Amount Purchases,High Amount Purchases,High Amount Purchases,High Amount Purchases,High Amount Purchases,Medium to High Amount Purchases,High Number of Total Purchase,Low Number Purchases,Medium to High Number Purchases,High Number Purchases,High Number Purchases,Low Number Visit
7437,36,1. Adult,Graduate,Single,27938.0,1. Lower,1,1,0,2014,April,13,0,8,2,1,5,29,1,1,0,4,3,0,0,0,0,0,0,0,0,Low Amount Purchases,Low Amount Purchases,Low Amount Purchases,Low Amount Purchases,Low Amount Purchases,Low Amount Purchases,Low Number of Total Purchase,Low Number Purchases,Low Number Purchases,Low Number Purchases,Medium to Low Number Purchases,Low Number Visit
8375,56,2. Elderly,Post Graduate,Relationship,55954.0,3. Upper-Middle,1,0,1,2014,March,447,0,28,0,0,43,518,3,8,2,6,7,0,0,0,0,0,0,0,0,Medium to High Amount Purchases,Low Amount Purchases,Medium to Low Amount Purchases,Low Amount Purchases,Low Amount Purchases,Medium to High Amount Purchases,Medium to High Number of Total Purchase,Medium to High Number Purchases,High Number Purchases,Medium to Low Number Purchases,Medium to High Number Purchases,Medium to High Number Visit
6853,42,1. Adult,Post Graduate,Single,75777.0,4. Upper,0,0,0,2013,July,712,26,538,69,13,80,1438,1,3,6,11,1,2,0,1,1,0,0,0,1,High Amount Purchases,Medium to High Amount Purchases,High Amount Purchases,High Amount Purchases,Medium to High Amount Purchases,High Amount Purchases,High Number of Total Purchase,Low Number Purchases,Medium to Low Number Purchases,High Number Purchases,High Number Purchases,Low Number Visit
3076,49,2. Elderly,Graduate,Relationship,66653.0,3. Upper-Middle,2,1,1,2012,September,452,18,102,16,18,6,612,4,4,2,12,3,0,0,0,0,0,0,0,0,Medium to High Amount Purchases,Medium to High Amount Purchases,Medium to High Amount Purchases,Medium to High Amount Purchases,Medium to High Amount Purchases,Low Amount Purchases,Medium to High Number of Total Purchase,High Number Purchases,Medium to Low Number Purchases,Medium to Low Number Purchases,High Number Purchases,Low Number Visit
1012,72,3. Old,Graduate,Single,61823.0,3. Upper-Middle,1,0,1,2013,February,523,7,134,37,14,169,884,4,8,2,10,7,0,0,0,0,0,0,0,0,High Amount Purchases,Medium to Low Amount Purchases,Medium to High Amount Purchases,Medium to High Amount Purchases,Medium to High Amount Purchases,High Amount Purchases,Medium to High Number of Total Purchase,High Number Purchases,High Number Purchases,Medium to Low Number Purchases,High Number Purchases,Medium to High Number Visit
6518,73,3. Old,Post Graduate,Single,67680.0,3. Upper-Middle,1,0,1,2013,June,546,0,48,0,6,6,606,1,7,3,8,5,0,0,0,0,0,0,0,0,High Amount Purchases,Low Amount Purchases,Medium to Low Amount Purchases,Low Amount Purchases,Medium to Low Amount Purchases,Low Amount Purchases,Medium to High Number of Total Purchase,Low Number Purchases,High Number Purchases,Medium to High Number Purchases,Medium to High Number Purchases,Medium to Low Number Visit
4137,76,3. Old,Graduate,Relationship,70666.0,4. Upper,0,0,0,2013,December,398,40,367,119,122,30,1076,1,7,4,4,4,0,0,0,0,0,0,0,0,Medium to High Amount Purchases,High Amount Purchases,High Amount Purchases,High Amount Purchases,High Amount Purchases,Medium to High Amount Purchases,High Number of Total Purchase,Low Number Purchases,High Number Purchases,Medium to High Number Purchases,Medium to Low Number Purchases,Medium to Low Number Visit
